<23, 16><37, 15>
<24, 16><37, 15>
<23, 17><37, 15>
<40, 7><37, 15>
<49, 8><37, 15>
<40, 8><37, 15>
<41, 8><37, 15>
<40, 9><37, 15>
<49, 10><37, 15>
<40, 10><37, 15>
<41, 10><37, 15>
<40, 11><37, 15>
<40, 7><36, 15>
<49, 8><36, 15>
<40, 8><36, 15>
<41, 8><36, 15>
<40, 9><36, 15>
<49, 10><36, 15>
<40, 10><36, 15>
<41, 10><36, 15>
<40, 11><36, 15>
<2, 15><36, 15>
<2, 16><36, 15>
<3, 16><36, 15>
<2, 17><36, 15>
<9, 15><36, 15>
<9, 16><36, 15>
<10, 16><36, 15>
<9, 17><36, 15>
<16, 15><36, 15>
<16, 16><36, 15>
<17, 16><36, 15>
<16, 17><36, 15>
<23, 15><36, 15>
<23, 16><36, 15>
<24, 16><36, 15>
<23, 17><36, 15>
<40, 7><36, 15>
<49, 8><36, 15>
<40, 8><36, 15>
<41, 8><36, 15>
<40, 9><36, 15>
<49, 10><36, 15>
<40, 10><36, 15>
<41, 10><36, 15>
<40, 11><36, 15>
<40, 7><35, 15>
<49, 8><35, 15>
<40, 8><35, 15>
<41, 8><35, 15>
<40, 9><35, 15>
<49, 10><35, 15>
<40, 10><35, 15>
<41, 10><35, 15>
<40, 11><35, 15>
<2, 15><35, 15>
<2, 16><35, 15>
<3, 16><35, 15>
<2, 17><35, 15>
<9, 15><35, 15>
<9, 16><35, 15>
<10, 16><35, 15>
<9, 17><35, 15>
<16, 15><35, 15>
<16, 16><35, 15>
<17, 16><35, 15>
<16, 17><35, 15>
<23, 15><35, 15>
<23, 16><35, 15>
<24, 16><35, 15>
<23, 17><35, 15>
<40, 7><35, 15>
<49, 8><35, 15>
<40, 8><35, 15>
<41, 8><35, 15>
<40, 9><35, 15>
<49, 10><35, 15>
<40, 10><35, 15>
<41, 10><35, 15>
<40, 11><35, 15>
<40, 7><35, 14>
<49, 8><35, 14>
<40, 8><35, 14>
<41, 8><35, 14>
<40, 9><35, 14>
<49, 10><35, 14>
<40, 10><35, 14>
<41, 10><35, 14>
<40, 11><35, 14>
<2, 14><35, 14>
<2, 15><35, 14>
<2, 16><35, 14>
<3, 16><35, 14>
<2, 17><35, 14>
<9, 14><35, 14>
<9, 15><35, 14>
<9, 16><35, 14>
<10, 16><35, 14>
<9, 17><35, 14>
<16, 14><35, 14>
<16, 15><35, 14>
<16, 16><35, 14>
<17, 16><35, 14>
<16, 17><35, 14>
<23, 14><35, 14>
<23, 15><35, 14>
<23, 16><35, 14>
<24, 16><35, 14>
<23, 17><35, 14>
<40, 7><35, 14>
<49, 8><35, 14>
<40, 8><35, 14>
<41, 8><35, 14>
<40, 9><35, 14>
<49, 10><35, 14>
<40, 10><35, 14>
<41, 10><35, 14>
<40, 11><35, 14>
<40, 7><34, 14>
<49, 8><34, 14>
<40, 8><34, 14>
<41, 8><34, 14>
<40, 9><34, 14>
<49, 10><34, 14>
<40, 10><34, 14>
<41, 10><34, 14>
<40, 11><34, 14>
<2, 14><34, 14>
<2, 15><34, 14>
<2, 16><34, 14>
<3, 16><34, 14>
<2, 17><34, 14>
<9, 14><34, 14>
<9, 15><34, 14>
<9, 16><34, 14>
<10, 16><34, 14>
<9, 17><34, 14>
<16, 14><34, 14>
<16, 15><34, 14>
<16, 16><34, 14>
<17, 16><34, 14>
<16, 17><34, 14>
<23, 14><34, 14>
<23, 15><34, 14>
<23, 16><34, 14>
<24, 16><34, 14>
<23, 17><34, 14>
<40, 7><34, 14>
<49, 8><34, 14>
<40, 8><34, 14>
<41, 8><34, 14>
<40, 9><34, 14>
<49, 10><34, 14>
<40, 10><34, 14>
<41, 10><34, 14>
<40, 11><34, 14>
<40, 7><33, 14>
<49, 8><33, 14>
<40, 8><33, 14>
<41, 8><33, 14>
<40, 9><33, 14>
<49, 10><33, 14>
<40, 10><33, 14>
<41, 10><33, 14>
<40, 11><33, 14>
<2, 14><33, 14>
<2, 15><33, 14>
<2, 16><33, 14>
<3, 16><33, 14>
<2, 17><33, 14>
<9, 14><33, 14>
<9, 15><33, 14>
<9, 16><33, 14>
<10, 16><33, 14>
<9, 17><33, 14>
<16, 14><33, 14>
<16, 15><33, 14>
<16, 16><33, 14>
<17, 16><33, 14>
<16, 17><33, 14>
<23, 14><33, 14>
<23, 15><33, 14>
<23, 16><33, 14>
<24, 16><33, 14>
<23, 17><33, 14>
<40, 7><33, 14>
<49, 8><33, 14>
<40, 8><33, 14>
<41, 8><33, 14>
<40, 9><33, 14>
<49, 10><33, 14>
<40, 10><33, 14>
<41, 10><33, 14>
<40, 11><33, 14>
<40, 7><32, 14>
<49, 8><32, 14>
<40, 8><32, 14>
<41, 8><32, 14>
<40, 9><32, 14>
<49, 10><32, 14>
<40, 10><32, 14>
<41, 10><32, 14>
<40, 11><32, 14>
<2, 14><32, 14>
<2, 15><32, 14>
<2, 16><32, 14>
<3, 16><32, 14>
<2, 17><32, 14>
<9, 14><32, 14>
<9, 15><32, 14>
<9, 16><32, 14>
<10, 16><32, 14>
<9, 17><32, 14>
<16, 14><32, 14>
<16, 15><32, 14>
<16, 16><32, 14>
<17, 16><32, 14>
<16, 17><32, 14>
<23, 14><32, 14>
<23, 15><32, 14>
<23, 16><32, 14>
<24, 16><32, 14>
<23, 17><32, 14>
<40, 7><32, 14>
<49, 8><32, 14>
<40, 8><32, 14>
<41, 8><32, 14>
<40, 9><32, 14>
<49, 10><32, 14>
<40, 10><32, 14>
<41, 10><32, 14>
<40, 11><32, 14>
<40, 7><31, 14>
<49, 8><31, 14>
<40, 8><31, 14>
<41, 8><31, 14>
<40, 9><31, 14>
<49, 10><31, 14>
<40, 10><31, 14>
<41, 10><31, 14>
<40, 11><31, 14>
<2, 14><31, 14>
<2, 15><31, 14>
<2, 16><31, 14>
<3, 16><31, 14>
<2, 17><31, 14>
<9, 14><31, 14>
<9, 15><31, 14>
<9, 16><31, 14>
<10, 16><31, 14>
<9, 17><31, 14>
<16, 14><31, 14>
<16, 15><31, 14>
<16, 16><31, 14>
<17, 16><31, 14>
<16, 17><31, 14>
<23, 14><31, 14>
<23, 15><31, 14>
<23, 16><31, 14>
<24, 16><31, 14>
<23, 17><31, 14>
<40, 7><31, 14>
<49, 8><31, 14>
<40, 8><31, 14>
<41, 8><31, 14>
<40, 9><31, 14>
<49, 10><31, 14>
<40, 10><31, 14>
<41, 10><31, 14>
<40, 11><31, 14>
<40, 7><31, 13>
<49, 8><31, 13>
<40, 8><31, 13>
<41, 8><31, 13>
<40, 9><31, 13>
<49, 10><31, 13>
<40, 10><31, 13>
<41, 10><31, 13>
<40, 11><31, 13>
<2, 13><31, 13>
<9, 13><31, 13>
<16, 13><31, 13>
<23, 13><31, 13>
<2, 14><31, 13>
<2, 15><31, 13>
<2, 16><31, 13>
<3, 16><31, 13>
<2, 17><31, 13>
<9, 14><31, 13>
<9, 15><31, 13>
<9, 16><31, 13>
<10, 16><31, 13>
<9, 17><31, 13>
<16, 14><31, 13>
<16, 15><31, 13>
<16, 16><31, 13>
<17, 16><31, 13>
<16, 17><31, 13>
<23, 14><31, 13>
<23, 15><31, 13>
<23, 16><31, 13>
<24, 16><31, 13>
<23, 17><31, 13>
<40, 7><31, 13>
<49, 8><31, 13>
<40, 8><31, 13>
<41, 8><31, 13>
<40, 9><31, 13>
<49, 10><31, 13>
<40, 10><31, 13>
<41, 10><31, 13>
<40, 11><31, 13>
<40, 7><31, 12>
<49, 8><31, 12>
<40, 8><31, 12>
<41, 8><31, 12>
<40, 9><31, 12>
<49, 10><31, 12>
<40, 10><31, 12>
<41, 10><31, 12>
<40, 11><31, 12>
<2, 12><31, 12>
<3, 12><31, 12>
<2, 13><31, 12>
<9, 12><31, 12>
<10, 12><31, 12>
<9, 13><31, 12>
<16, 12><31, 12>
<17, 12><31, 12>
<16, 13><31, 12>
<23, 12><31, 12>
<24, 12><31, 12>
<23, 13><31, 12>
<2, 14><31, 12>
<2, 15><31, 12>
<2, 16><31, 12>
<3, 16><31, 12>
<2, 17><31, 12>
<9, 14><31, 12>
<9, 15><31, 12>
<9, 16><31, 12>
<10, 16><31, 12>
<9, 17><31, 12>
<16, 14><31, 12>
<16, 15><31, 12>
<16, 16><31, 12>
<17, 16><31, 12>
<16, 17><31, 12>
